R Hip	-40.12207	-343.1831	90.50902	-31.90001	-329.8255	112.3914	-35.54356	-334.4435	100.4156	8.222061	13.35757	21.88241
R Knee	-70.0453	-830.8796	-192.0764	-55.61963	-804.9677	-19.85383	-62.48186	-819.197	-97.82179	14.42567	25.91187	172.2226
R Ankle	-40.53031	-1161.153	1116.961	1.248406	-724.1559	1671.147	-27.61583	-1007.114	1393.985	41.77871	436.9969	554.1868
---------------------------------------------
L shoulder	258.5299	409.6841	-392.7904	260.4764	411.1674	-269.0511	259.6948	410.6522	-323.7894	1.946472	1.483337	123.7393
L Elbow	501.9197	281.1909	-1134.998	504.3556	282.4198	-1055.034	502.5811	281.9393	-1095.138	2.435822	1.228912	79.96375
L Wrist	419.2802	554.1931	-2187.141	421.4298	556.689	-2113.916	420.2807	555.5638	-2148.772	2.149536	2.495911	73.22534
R shoulder	-207.9404	421.9631	-271.8334	-206.5464	422.9207	-82.99889	-207.1782	422.5497	-165.8992	1.393967	0.95755	188.8345
R Elbow	-577.9933	444.3334	-222.1997	-570.1484	445.2328	1.964807	-574.3388	444.9611	-93.54568	7.84491	0.8993835	224.1645
R Wrist	-937.6488	512.2551	-465.9333	-936.7438	513.1707	-187.7213	-937.0964	512.6573	-316.2457	0.9049683	0.9155884	278.212
L Hip	216.4843	-318.3423	-70.43166	217.6809	-314.3659	-50.61324	217.3249	-316.501	-59.07325	1.196564	3.97641	19.81843
L Knee	228.007	-787.0071	-264.3146	234.8857	-773.6099	-96.51163	230.1705	-780.8684	-200.2728	6.878723	13.39728	167.803
L Ankle	160.1908	-1107.532	1269.742	175.3862	-631.3379	1735.42	168.272	-823.5532	1546.508	15.19534	476.1942	465.6774
R Hip	-59.79762	-332.0698	50.92841	-59.07811	-328.8154	70.91099	-59.57123	-330.072	59.55261	0.7195053	3.254333	19.98257
R Knee	-94.93277	-816.7894	-144.3815	-87.66688	-807.7528	-59.6949	-90.05041	-812.1299	-101.3409	7.265892	9.03656	84.6866
R Ankle	-33.14664	-1142.207	1088.313	-21.64728	-698.9372	1639.362	-28.52206	-861.4158	1425.452	11.49936	443.27	551.0498
---------------------------------------------
